index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
73,Elite Unique Apartments,12.9186134,77.673652,Apartments,"Bellandur, Bengaluru",8.232586248283704,2.9793362105612604,12,13,808
74,Gayanam Apartments,12.928051,77.6729254,Apartments,"Bellandur, Bengaluru",9.26418606225078,2.958396530096249,17,18,1104
75,Sri Sathya Sai Shakthi Nilayam Apartments,12.9212666,77.6764167,Apartments,"Bellandur, Bengaluru",8.56944807467578,2.6192415167061873,11,12,736
76,DKS Kutira Apartments,12.9305903,77.6750233,Apartments,"Bellandur, Bengaluru",9.572259113444572,2.771747422237218,12,12,741
77,Sreepadmam Apartments,12.9158148,77.6987132,Apartments,"Bellandur, Bengaluru",8.732392287455951,1.1237488173242194,6,6,376
78,psychologist,12.9227862,77.6750947,Apartments,"Bellandur, Bengaluru",8.714012222276923,2.733946490358434,10,12,701
79,Elegance Garnet Apartment,12.9259087,77.6775684,Apartments,"Bellandur, Bengaluru",9.099246328226526,2.444871028455481,9,10,593
80,Annapurneshwari Grand,12.9293626,77.6767439,Apartments,"Bellandur, Bengaluru",9.463818460654851,2.5645157503641625,11,13,755
81,Pritam Woods,12.9282359,77.6704992,Apartments,"Bellandur, Bengaluru",9.258844997752199,3.2221382193714927,17,19,1121
82,DSR Daffodil,12.9216893,77.6758895,Apartments,"Bellandur, Bengaluru",8.606580975817902,2.6668098024673803,10,12,716
83,Maruti Grandeur,12.9272402,77.6716323,Apartments,"Bellandur, Bengaluru",9.15977377258344,3.0921832346582776,16,17,1049
84,Lisha Vistara Apartments,12.9271978,77.6708913,Apartments,"Bellandur, Bengaluru",9.147535952194197,3.172159629040645,15,17,1024
85,Marouthu Homes,12.93108,77.683756,Apartments,"Bellandur, Bengaluru",9.795911326448005,1.8679325961740558,9,9,552
86,Om Nilaya Apartment,12.9298974,77.6727694,Apartments,"Bellandur, Bengaluru",9.466383744511278,2.9992891924093144,13,13,808
87,SJR Residency,12.9276542,77.6889908,Apartments,"Bellandur, Bengaluru",9.574424400772164,1.223910651820975,6,6,382
88,Srinivasa's signature,12.9203955,77.6759707,Apartments,"Bellandur, Bengaluru",8.465979209217728,2.68678543438858,11,12,740
89,BPNR Apartment,12.9290972,77.675682,Apartments,"Bellandur, Bengaluru",9.41760693950521,2.6741265759209,11,13,778
90,Kristal Ruby,12.9228143,77.6726032,Apartments,"Bellandur, Bengaluru",8.68170655407144,3.0017334502818085,11,13,756
91,Kalpa Vruksha Apartments,12.9216853,77.676416,Apartments,"Bellandur, Bengaluru",8.615353915019167,2.610701013443058,10,12,732
92,Ushodaya Eleganza,12.928386,77.6691835,Apartments,"Bellandur, Bengaluru",9.264618543305296,3.365626130448501,15,17,1029
93,Sheshadri Residency,12.9273343,77.6749995,Apartments,"Bellandur, Bengaluru",9.213167126419348,2.728413139922712,11,14,813
94,"Orchid Lakeview Apartment, Kariyamanna Agrahara Road, Bellandur, 560103",12.9315882,77.6790615,Apartments,"Bellandur, Bengaluru",9.749216643910481,2.3712010589201684,12,12,740
95,SVM Apartments,12.9364925,77.6851406,Apartments,"Bellandur, Bengaluru",10.416101250450478,2.011099303579483,11,12,726
96,Sri Siva Sai Vue Grande Apartments,12.9238309,77.674399,Apartments,"Bellandur, Bengaluru",8.818366705447174,2.7971726125723495,10,12,703
97,"Zephyr Block A, Suncity Corporate Leisure",12.9239799,77.6643186,Apartments,"Bellandur, Bengaluru",8.75358667737033,3.886276420119247,13,15,910
98,Pearl Paradise,12.9232376,77.6741589,Apartments,"Bellandur, Bengaluru",8.74948345906579,2.829066279305787,11,12,744
99,Brindavan Sapthagiri,12.9220044,77.6775841,Apartments,"Bellandur, Bengaluru",8.672015611718148,2.4798610814826003,11,12,737
100,SLV nilaya,12.9299414,77.6775003,Apartments,"Bellandur, Bengaluru",9.54027537916643,2.494536971842129,10,11,655
101,ARB Enclave,12.9223404,77.6743041,Apartments,"Bellandur, Bengaluru",8.652781371784938,2.825368395432671,10,12,723
102,I Life,12.9300399,77.6875407,Apartments,"Bellandur, Bengaluru",9.785239031904151,1.4422860606909673,7,8,464
103,Jayani Apartments,12.9461338,77.6804383,Apartments,"Bellandur, Bengaluru",11.368590515373851,3.1067207563384565,14,15,886
104,Suncity Block 9 - Galaxy,12.9258374,77.6648788,Apartments,"Bellandur, Bengaluru",8.961048259684059,3.8201209217360663,15,17,1009
105,Kumara Krupa Apartment,12.9299561,77.6767582,Apartments,"Bellandur, Bengaluru",9.529270996906032,2.5739320127358343,11,11,676
106,Unitech Blossoms,12.930474,77.682351,Apartments,"Bellandur, Bengaluru",9.696764352200164,1.994618534417895,9,9,545
107,G K J House,12.9220398,77.6742731,Apartments,"Bellandur, Bengaluru",8.619211732700014,2.8334720177845543,10,12,730
108,Adarsh Palm Retreat Tower 1 (Gulmohar),12.9202513,77.6889567,Apartments,"Bellandur, Bengaluru",8.788857799574618,1.3601291660140957,8,8,479
109,Ambience Diva Apartments,12.9184055,77.6718202,Apartments,"Bellandur, Bengaluru",8.184987185810185,3.176913281820527,14,16,943
110,DSR WINDSOR APARTMENTS,12.9252335,77.6717127,Apartments,"Bellandur, Bengaluru",8.938627035297417,3.0801896936652833,15,16,989
111,"122, Samruddhi Residency , Green Glen Layout",12.9281281,77.6706516,Apartments,"Bellandur, Bengaluru",9.2483034233384,3.2047002174075248,17,19,1119
112,Hamilton Surabhi Apartment,12.9270963,77.6716201,Apartments,"Bellandur, Bengaluru",9.143720317794664,3.092732812328078,16,18,1074
113,Holiday Apartments Bellandur,12.92793,77.6722055,Apartments,"Bellandur, Bengaluru",9.242368611907603,3.0350851432020844,16,18,1079
114,Reddy apartments,12.9302649,77.6740127,Apartments,"Bellandur, Bengaluru",9.522455897075226,2.8728953837165037,12,13,774
115,Navya Gruha,12.9187989,77.6750684,Apartments,"Bellandur, Bengaluru",8.275234475348775,2.826023023008313,11,13,778
116,"882,Bellandur Main Road",12.9278592,77.675775,Apartments,"Bellandur, Bengaluru",9.282826330187458,2.648868669728065,10,12,714
117,Girish Apartment,12.946116,77.680329,Apartments,"Bellandur, Bengaluru",11.364711032248644,3.11343357980218,14,15,884
118,Srinesh Apartment,12.9279392,77.6719096,Apartments,"Bellandur, Bengaluru",9.240102893244725,3.0671376491519218,16,18,1070
119,Naveen House,12.9291685,77.6776545,Apartments,"Bellandur, Bengaluru",9.458193849628316,2.4636943870021635,11,11,685
120,JNR Nilaya Apartment,12.9266409,77.6742619,Apartments,"Bellandur, Bengaluru",9.12607591596937,2.8046621492187276,11,13,774
121,Annapoorneswari Mansion,12.920781,77.675692,Apartments,"Bellandur, Bengaluru",8.503469635101991,2.707016441296144,11,12,742
122,Krishna Residency Building,12.9218084,77.6761347,Apartments,"Bellandur, Bengaluru",8.623895535659386,2.6383622365864148,10,12,712
123,Sharath house,12.928431,77.6743584,Apartments,"Bellandur, Bengaluru",9.324811658128153,2.807707453833693,12,14,829
124,Hamilton Court Apartments,12.9250353,77.6713943,Apartments,"Bellandur, Bengaluru",8.913251830111209,3.115235020832263,15,17,997
125,Chandrappa Apartment,12.9459012,77.680365,Apartments,"Bellandur, Bengaluru",11.341777706973453,3.093468028381707,14,15,879
126,Ushoodaya Trinity,12.9264128,77.6705592,Apartments,"Bellandur, Bengaluru",9.057417067189446,3.205152890124373,15,17,994
127,Sai Ram Apartments,12.9213003,77.6768539,Apartments,"Bellandur, Bengaluru",8.581112305152613,2.5720350582272293,11,13,757
128,80 Trees,12.9176613,77.6979436,Apartments,"Bellandur, Bengaluru",8.881738007542435,0.9382634773110523,5,6,338
129,Sree Shore's Icon Apartment Homes,12.9443548,77.6775583,Apartments,"Bellandur, Bengaluru",11.12592328986048,3.197948726857796,14,15,909
130,Orchid Lakeview - Goyal %26 Co %7C Hariyana Group,12.9315276,77.6777491,Apartments,"Bellandur, Bengaluru",9.718693351497054,2.506726054747827,14,14,840
131,SRV Life Style,12.9268123,77.67043,Apartments,"Bellandur, Bengaluru",9.100478695977001,3.220355692852188,15,17,1003
132,Sobha Dahlia,12.9294968,77.6706532,Apartments,"Bellandur, Bengaluru",9.399958287696728,3.2202488484964715,17,19,1135
133,Land Mark Apartment,12.928329,77.671246,Apartments,"Bellandur, Bengaluru",9.276297902890033,3.142389013085463,16,18,1099
134,Banyan Tree Apartments,12.9345341,77.6869822,Apartments,"Bellandur, Bengaluru",10.252228187758735,1.7224801941045473,9,10,613
135,PLY (lekha house ),12.9293923,77.6765038,Apartments,"Bellandur, Bengaluru",9.463119647990682,2.5907356197344313,10,12,741
136,Venugopal Building,12.9279843,77.6749254,Apartments,"Bellandur, Bengaluru",9.283673766132674,2.7418028152001424,11,12,748
137,Brother Nivas Apartments,12.9449233,77.680733,Apartments,"Bellandur, Bengaluru",11.24112973697182,2.98775836793959,14,14,866
138,AVR Mansion Lakeview Flats,12.9298267,77.6720782,Apartments,"Bellandur, Bengaluru",9.45075733420942,3.0722141821663804,13,14,826
139,1B Tower,12.922438,77.6711145,Apartments,"Bellandur, Bengaluru",8.622863307797088,3.16682742540279,12,14,816
140,Suncity Apartments,12.9255055,77.6654327,Apartments,"Bellandur, Bengaluru",8.925480378542586,3.7602623731417872,14,15,927
141,Oceanus Freesia Enclave,12.920717,77.674338,Apartments,"Bellandur, Bengaluru",8.474534672557771,2.852146478668216,12,13,800
142,Sri Anjana Galaxy,12.9257755,77.6703344,Apartments,"Bellandur, Bengaluru",8.98472844253471,3.228862116179612,14,17,993
143,Malibu Rivona,12.9270245,77.6724289,Apartments,"Bellandur, Bengaluru",9.144814511286258,3.0048073184989312,16,18,1085
144,Mana Campbell,12.9258134,77.6711184,Apartments,"Bellandur, Bengaluru",8.996503949009593,3.1438893068436737,15,17,1016
145,Garudadari Residency,12.927286,77.6867779,Apartments,"Bellandur, Bengaluru",9.468066293979387,1.4558219609282017,6,8,451
146,Shwetha Residency,12.9163581,77.6746981,Apartments,"Bellandur, Bengaluru",8.000886397618256,2.95023895794346,13,16,932
147,The House Project,12.9198219,77.6699982,Apartments,"Bellandur, Bengaluru",8.32202966685085,3.3328960375393883,12,14,838
148,Bhavanna Residency,12.9291708,77.6748204,Apartments,"Bellandur, Bengaluru",9.412895887287286,2.7677528073619957,12,13,806
149,Suncity Apartments Owners Association,12.9232058,77.6664831,Apartments,"Bellandur, Bengaluru",8.67359082387911,3.6578961382056767,13,15,912
150,SVM Encalve Apartment,12.9365173,77.6851681,Apartments,"Bellandur, Bengaluru",10.419463681561025,2.0103225474868482,11,12,723
151,MAARQ ALPHA,12.9139886,77.7025234,Apartments,"Bellandur, Bengaluru",8.743495103819177,1.3416923142952328,12,13,752
152,My home,12.9331591,77.6853759,Apartments,"Bellandur, Bengaluru",10.061499235735434,1.7945897622189741,9,10,588
153,Reliaable Acacia Apartments,12.9246428,77.6674314,Apartments,"Bellandur, Bengaluru",8.837830258442112,3.545928617768947,14,16,957
154,Asad's Home,12.921192,77.6717829,Apartments,"Bellandur, Bengaluru",8.492501239880989,3.1148261437294966,12,13,803
155,Block 2 Sobha Jasmine,12.9260617,77.6680693,Apartments,"Bellandur, Bengaluru",8.999090843193548,3.474439359921705,16,18,1056
156,Mantri Espana,12.9345051,77.6835708,Apartments,"Bellandur, Bengaluru",10.162918991271033,2.037342778250242,11,11,676
157,GR Flat BG,12.9249046,77.6711743,Apartments,"Bellandur, Bengaluru",8.896478023117822,3.1395104088127317,16,17,1027
158,Flat apartment,12.9300508,77.6838345,Apartments,"Bellandur, Bengaluru",9.686415130292838,1.8271452984412693,12,13,808
159,Hamesh Tiwari,12.922769,77.671671,Apartments,"Bellandur, Bengaluru",8.66557876170935,3.102701264660567,12,13,804
160,Melody Park - Suncity Apartments,12.9249554,77.6662502,Apartments,"Bellandur, Bengaluru",8.867052862845966,3.6727758780020303,15,16,989
161,Sri Balaji Residency,12.9273644,77.672787,Apartments,"Bellandur, Bengaluru",9.186640304642175,2.967971735028142,16,18,1076
162,Sumeru Apartment,12.9271566,77.6767412,Apartments,"Bellandur, Bengaluru",9.221466236321719,2.5388091195308924,10,11,680
163,Suncity Apartments 6th Block,12.926564,77.6651591,Apartments,"Bellandur, Bengaluru",9.042443661494591,3.790624183129853,14,16,954
164,NCCCL,12.9226019,77.6720017,Apartments,"Bellandur, Bengaluru",8.650921170205581,3.0691951463710048,11,13,790
165,Vajram Esteva,12.9304665,77.6862651,Apartments,"Bellandur, Bengaluru",9.794942006722108,1.588441833392925,6,7,403
166,ViceroySree Apartments,12.919247,77.6730022,Apartments,"Bellandur, Bengaluru",8.293192641803524,3.0294348501047956,13,14,857
167,Paras Pearl Apartment,12.9273038,77.6695154,Apartments,"Bellandur, Bengaluru",9.14713608303027,3.3216724365686265,14,17,992
168,Home Adarsh,12.9246268,77.6859241,Apartments,"Bellandur, Bengaluru",9.158394517877884,1.545058298614639,8,9,517
169,AKME Harmony Back Gate,12.9304278,77.678404,Apartments,"Bellandur, Bengaluru",9.609828136500036,2.4092273096928323,10,10,625
170,Vishranti Park - Suncity Apartments,12.9261621,77.6655805,Apartments,"Bellandur, Bengaluru",8.998887465361749,3.7442558055104738,14,16,945
171,The Central Regency Address,12.9210555,77.6706568,Apartments,"Bellandur, Bengaluru",8.46508886079497,3.237705438418076,12,14,812
172,No. 3,12.917411,77.674375,Apartments,"Bellandur, Bengaluru",8.111343147334093,2.943687813846064,14,16,984
173,Kodeeshwar residency,12.925576,77.6722686,Apartments,"Bellandur, Bengaluru",8.982814245316657,3.019363145078034,13,14,852
174,NIRMAN SONESTAA DEVELOPERS,12.9298924,77.6739949,Apartments,"Bellandur, Bengaluru",9.481109102154884,2.8679774403425675,13,13,801
175,Siesta Bellandur,12.9310673,77.6838338,Apartments,"Bellandur, Bengaluru",9.796445426349745,1.8594827021063014,9,9,554
176,Satish Reddy Building,12.9211544,77.6768245,Apartments,"Bellandur, Bengaluru",8.564583090584787,2.578380380986877,11,13,761
177,The Waves Serviced Apartments,12.9262149,77.6764431,Apartments,"Bellandur, Bengaluru",9.112982756633526,2.5671727994528735,9,11,639
178,Apartment,12.9224363,77.6705931,Apartments,"Bellandur, Bengaluru",8.617328092823884,3.2229635494897457,12,14,837
179,Sunpride apartment,12.9216464,77.6766927,Apartments,"Bellandur, Bengaluru",8.616078882784306,2.58196367253446,11,12,740
180,Sobha Mayflower,12.9281297,77.6698471,Apartments,"Bellandur, Bengaluru",9.241406219873479,3.291632191222943,16,18,1082
181,Sobha Marvella,12.9267833,77.6726791,Apartments,"Bellandur, Bengaluru",9.121124507431205,2.9766404386616983,17,18,1092
