index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
3688,Tata Consultancy Services,12.8474356,77.6791015,PG,"Carmelaram, Bengaluru",1.7267868206787496,3.606808217248147,12,12,719
3691,Ajmera Stone Park Apartments,12.8375189,77.6508487,Apartment,"Electronic City, Bengaluru",1.6039165998634228,0.6867776244076742,9,9,544
3692,WOODSTOCK APARTMENTS,12.8327325,77.6591191,Apartment,"Electronic City, Bengaluru",1.4662190239517503,1.7174938905509856,7,8,484
3693,Vasavi Rich Apartment,12.8408616,77.6463191,Apartment,"Electronic City, Bengaluru",1.9080553925816681,0.10959989603970374,8,9,542
3694,Concorde Manhattans Apartment,12.8415743,77.6519022,Apartment,"Electronic City, Bengaluru",1.3050669655269038,0.6048977895693218,7,8,459
3695,1 bhk apartment,12.848453,77.685098,Apartment,"Electronic City, Bengaluru",2.3864004134067742,4.266665715910044,14,15,891
3696,Talasila Apartments,12.8429793,77.6457718,Apartment,"Electronic City, Bengaluru",1.9204099788090072,0.1396605639597403,9,10,572
3697,S S Sankalp Apartment,12.8405384,77.6463287,Apartment,"Electronic City, Bengaluru",1.9165883829583636,0.14553216139120484,9,9,551
3698,Ajmera Annex,12.8417682,77.6477055,Apartment,"Electronic City, Bengaluru",1.7379170461244837,0.1494141660075082,8,8,487
3699,Maks Sundance Apartments,12.8512918,77.6569586,Apartment,"Electronic City, Bengaluru",0.9625612467738485,1.559068748680627,4,5,289
3700,Ajantha Royal Apartment,12.8617205,77.6618485,Apartment,"Electronic City, Bengaluru",1.8370273284652785,2.7773539237697875,17,18,1108
3701,Gopalan Lakefront,12.8376828,77.6765205,Apartment,"Electronic City, Bengaluru",1.6599430124788959,3.305719282071621,10,11,634
3702,Charvi Square Electronics City.,12.8401065,77.6451354,Apartment,"Electronic City, Bengaluru",2.0541967261219525,0.2328717244747985,9,10,596
3703,DS-MAX STARRY,12.8288488,77.6516834,Apartment,"Electronic City, Bengaluru",2.2193836107141416,1.5575490367342189,10,10,600
3704,Keerthi Pride,12.849832,77.649897,Apartment,"Electronic City, Bengaluru",1.5423782544476339,0.9684423298290853,8,9,514
3705,Mahendra Elena 5,12.8276898,77.6559391,Apartment,"Electronic City, Bengaluru",2.111970557223432,1.8877502021334354,9,9,567
3706,kishore neeladri apartments,12.8400301,77.6458673,Apartment,"Electronic City, Bengaluru",1.9806060443027904,0.20817861084553074,9,10,594
3707,Ajmera Infinity,12.843283,77.6477137,Apartment,"Electronic City, Bengaluru",1.7072746516892598,0.21909505960709266,9,10,604
3708,Balaji Classic Apartment,12.8474913,77.6445929,Apartment,"Electronic City, Bengaluru",2.046391934421009,0.6552330988958671,11,12,720
3709,Gopalan Gardenia Apartments,12.837965,77.677214,Apartment,"Electronic City, Bengaluru",1.7100234498288287,3.3760224706713697,10,10,617
3710,SK Aster Apartment,12.8499653,77.6466076,Apartment,"Electronic City, Bengaluru",1.886806248523595,0.9031954025644545,9,10,590
3711,Paradise Tower Apartment,12.8474202,77.6504676,Apartment,"Electronic City, Bengaluru",1.4149299461112814,0.765021750999595,10,10,609
3712,Vaibhav Residency,12.8428043,77.6460316,Apartment,"Electronic City, Bengaluru",1.895205119715326,0.11122364556494795,9,9,568
3713,Mayura e city apartment,12.8480549,77.6503985,Apartment,"Electronic City, Bengaluru",1.4359000386202423,0.8191724556560533,8,9,537
3714,SVR Orchid,12.8415681,77.6497056,Apartment,"Electronic City, Bengaluru",1.5331529070766328,0.3673077464492268,7,8,451
