,level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
58,834,834,Elan Homes,12.9174916,77.6727643,Apartment,"Ambalipura, Bengaluru",7.028036482721034,1.1267853613642518,9,538
59,835,835,Kay Arr %26 Co Providence,12.9134191,77.66611999999998,Apartment,"Ambalipura, Bengaluru",6.312885491467038,1.6258627344887535,7,403
60,836,836,Mounica Royale,12.9187163,77.67317840000003,Apartment,"Ambalipura, Bengaluru",7.07729467904649,1.183011333141963,9,555
61,837,837,The EDGE,12.9163383,77.6752834,Apartment,"Ambalipura, Bengaluru",7.299308915359338,0.8354017847974821,5,285
62,838,838,Exsultare,12.913128,77.66717320000002,Apartment,"Ambalipura, Bengaluru",6.428469387097297,1.508251851790322,7,430
63,839,839,"Godrej Reflections, Bangalore",12.9114986,77.667066,Apartment,"Ambalipura, Bengaluru",6.428592213878019,1.5056150972096312,8,461
64,840,840,Brindhvan residency,12.9143687,77.6648443,Apartment,"Ambalipura, Bengaluru",6.170669992365723,1.7802322703574494,7,446
65,841,841,TETRA - SJR Watermark,12.912741,77.6702127,Apartment,"Ambalipura, Bengaluru",6.7597057668232745,1.1760398350079166,9,529
66,842,842,HORNBILL - SJR Watermark,12.9138058,77.6701139,Apartment,"Ambalipura, Bengaluru",6.743590042835517,1.2088708199625495,8,505
67,843,843,Sujatha Residency,12.922034,77.6645671,Apartment,"Ambalipura, Bengaluru",6.173736984675362,2.142996083652196,7,449
68,844,844,NR Elite Apartment,12.9150772,77.66526640000002,Apartment,"Ambalipura, Bengaluru",6.2145250592643535,1.7528193040910682,7,421
69,845,845,The Bha House,12.9161131,77.6662878,Apartment,"Ambalipura, Bengaluru",6.324285700135273,1.6791152962755524,7,392
70,846,846,La Palazzo Residences - KMB Group,12.9191369,77.6659181,Apartment,"Ambalipura, Bengaluru",6.293571424032148,1.8506802909224778,6,382
71,847,847,VS Sunshine Apartments,12.9090352,77.66418420000002,Apartment,"Ambalipura, Bengaluru",6.146004208144228,1.8343332935166219,9,510
72,848,848,Jana Jeeva Silver Palm,12.9131159,77.664599,Apartment,"Ambalipura, Bengaluru",6.14991437208717,1.784828631376872,8,453
73,849,849,Ozone Evergreens,12.9088641,77.6628913,Apartment,"Ambalipura, Bengaluru",6.009533726474227,1.9757496033891166,9,547
74,850,850,Ambience Diva Apartments,12.9184055,77.6718202,Apartment,"Ambalipura, Bengaluru",6.928833047973166,1.270099055032763,9,536
75,851,851,AS08,12.9156329,77.6636791,Apartment,"Ambalipura, Bengaluru",6.041725574046318,1.9347926515524414,9,525
76,852,852,Devinarayan Whispering Meadows,12.9122841,77.6648164,Apartment,"Ambalipura, Bengaluru",6.179024264351582,1.7529492516090144,7,447
77,853,853,Silver Pride Apartments,12.9129609,77.6647739,Apartment,"Ambalipura, Bengaluru",6.169779849208772,1.7640618148321776,8,452
78,854,854,Orchard in Bloom - Innerspaces,12.9113915,77.6638648,Apartment,"Ambalipura, Bengaluru",6.083775936391855,1.852387480012262,8,468
79,855,855,Newark Springs,12.9107145,77.67636740000002,Apartment,"Ambalipura, Bengaluru",7.440452814930331,0.5008080805492725,4,234
80,856,856,P.N.R Residency,12.920467,77.6688277,Apartment,"Ambalipura, Bengaluru",6.617793587169463,1.6666827865868623,8,496
81,857,857,Manoj Lake View Residency,12.9125231,77.66407640000001,Apartment,"Ambalipura, Bengaluru",6.09723999551949,1.8348447052687653,8,477
82,858,858,Elite Unique Apartments,12.9186134,77.673652,Apartment,"Ambalipura, Bengaluru",7.12811296085083,1.1387524370744766,9,565
83,859,859,Krishna Reddy Apartments,12.9128661,77.6644963,Apartment,"Ambalipura, Bengaluru",6.1403386381913725,1.7928903950929758,8,460
84,860,860,GreenNesto appartment,12.9047533,77.6625735,Apartment,"Ambalipura, Bengaluru",6.053500376916488,2.119264654062703,9,565
85,861,861,Mayflower Apartments,12.921026,77.6659327,Apartment,"Ambalipura, Bengaluru",6.31008638306007,1.9576417245935391,15,883
86,862,862,Apollo Building,12.920670199999998,77.6702312,Apartment,"Ambalipura, Bengaluru",6.771170853196268,1.5645806026778342,9,538
87,863,863,Krishna Kousthubha,12.9162941,77.66645679999998,Apartment,"Ambalipura, Bengaluru",6.342655815105827,1.6684405486615201,6,388
88,864,864,West117,12.916468,77.66579200000002,Apartment,"Ambalipura, Bengaluru",6.270717405124099,1.7428106294479637,8,454
89,865,865,Aaditya Maalin,12.9142364,77.6645288,Apartment,"Ambalipura, Bengaluru",6.136957265824816,1.8110308633680856,8,473
90,866,866,Poetree,12.906663900000002,77.6792503,Apartment,"Ambalipura, Bengaluru",7.799398188567102,0.5424928003992803,9,521
91,867,867,Jana Jeeva Habitat,12.9137565,77.66485390000003,Apartment,"Ambalipura, Bengaluru",6.17414855759386,1.7672112950477217,8,479
92,868,868,Shivalaya Apartments,12.9060107,77.694967,Apartment,"Ambalipura, Bengaluru",9.498533520483853,1.626613857876867,7,431
93,869,869,SJR Park Vista Club House,12.9171468,77.66424920000001,Apartment,"Ambalipura, Bengaluru",6.10455094452175,1.9256725220832953,9,566
94,870,870,50,12.9144636,77.66487459999998,Apartment,"Ambalipura, Bengaluru",6.173641703224817,1.7790997418946595,7,446
95,871,871,Trinity Acres and Woods,12.919199,77.66654399999999,Apartment,"Ambalipura, Bengaluru",6.36168303407308,1.794620780844624,6,348
96,872,872,Apollo,12.9205912,77.6703757,Apartment,"Ambalipura, Bengaluru",6.786127786609145,1.5470709751124696,9,528
97,873,873,Sri Sai Venkateshwara Nilaya,12.9149612,77.66518509999999,Apartment,"Ambalipura, Bengaluru",6.2059534777176095,1.758297833017941,7,424
98,874,874,SJR Redwoods,12.9154052,77.664345,Apartment,"Ambalipura, Bengaluru",6.114139974163502,1.8585819203068836,7,432
99,875,875,MSR Building,12.9137758,77.66662600000002,Apartment,"Ambalipura, Bengaluru",6.365968668100437,1.5782181956271615,6,388
100,876,876,Marshal Lakeview Apartment,12.9217927,77.66502890000002,Apartment,"Ambalipura, Bengaluru",6.220686502180589,2.0865092430558736,7,434
101,877,877,Bhanwar Sarjapur- Apartment,12.9117171,77.7001118,Apartment,"Ambalipura, Bengaluru",10.001855712952555,2.0769096857653353,9,521
102,878,878,ALLRIGHT HOMES,12.9093373,77.66458659999998,Apartment,"Ambalipura, Bengaluru",6.1851234691103425,1.7868122959877535,9,513
103,879,879,Vijayanikethan apartment,12.909318699999998,77.6776951,Apartment,"Ambalipura, Bengaluru",7.597631316191291,0.41353657529588184,3,170
104,880,880,avigna apartments,12.9039839,77.7029845,Apartment,"Ambalipura, Bengaluru",10.388713520859167,2.520682604586617,8,458
105,881,881,SVM apartments,12.915234,77.66295600000002,Apartment,"Ambalipura, Bengaluru",5.963867618857136,2.00045097275143,9,520
106,882,882,Alleluia,12.9144645,77.6650355,Apartment,"Ambalipura, Bengaluru",6.191070463449441,1.762039849760986,7,439
107,883,883,The Central Regency Address,12.9210555,77.6706568,Apartment,"Ambalipura, Bengaluru",6.820526018952049,1.5602546175550815,9,514
108,884,884,August Grand,12.9090972,77.6904703,Apartment,"Ambalipura, Bengaluru",8.978646705686955,1.0587273946229132,4,263
109,885,885,Embassy Pristine Apartments,12.9269583,77.6616356,Apartment,"Ambalipura, Bengaluru",5.945106005126564,2.7266890532751686,11,652
110,886,886,Axis Valencia,12.9127266,77.66909790000003,Apartment,"Ambalipura, Bengaluru",6.639151893985501,1.2955685904460925,8,464
111,887,887,H block,12.9175837,77.6688203,Apartment,"Ambalipura, Bengaluru",6.600955805096958,1.491858020806897,6,343
112,888,888,Saket Callipolis,12.9095176,77.68542,Apartment,"Ambalipura, Bengaluru",8.429279772251592,0.5208827898016504,4,239
113,889,889,Residential Apartment,12.894689,77.6582786,Apartment,"Ambalipura, Bengaluru",5.950813190874578,3.07124689263118,15,925
114,890,890,Ahad Excellencia,12.8826048,77.6895596,Apartment,"Ambalipura, Bengaluru",9.596762448674129,3.319031560421642,16,971
115,891,891,Prestige Ferns Residency,12.9031221,77.6619237,Apartment,"Ambalipura, Bengaluru",6.0253052588139155,2.252087280708399,10,612
116,892,892,Suncity Apartments,12.9255055,77.66543270000003,Apartment,"Ambalipura, Bengaluru",6.319653840038695,2.311411064347758,8,504
117,893,893,SJR Eastwood,12.9119176,77.66576459999997,Apartment,"Ambalipura, Bengaluru",6.284410097402844,1.6480805202311166,8,455
118,894,894,Number 7,12.9079377,77.6665695,Apartment,"Ambalipura, Bengaluru",6.418541125521841,1.602120607975313,10,603
119,895,895,"Boulevard Springsfield, Sarjapur Road",12.917967,77.670175,Apartment,"Ambalipura, Bengaluru",6.748941730683023,1.3866596953838588,5,295
120,896,896,Reliaable Acacia Apartments,12.9246428,77.6674314,Apartment,"Ambalipura, Bengaluru",6.518602654606971,2.089449037737345,9,522
