,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh,13_30_voosh
52,4493,Sri Anjaneya Pg,12.9489076,77.7038769,PG,"Electronic City, Bengaluru",0.46241643574273295,1.5034931420105713,,,728,12
53,4498,Zolo Elements PG,12.965503,77.721947,PG,"Electronic City, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
54,6233,Electoral Id Registration Office,12.9545393,77.7004503,Office,"Jayanagar, Bengaluru",0.8929893973073942,1.562511320973353,,,895,15
55,6245,Prestige Technostar,12.9740875,77.7108374,Office,"Jayanagar, Bengaluru",3.2688765114154275,1.8797451023336997,,,414,7
56,6479,Zolo Elements PG,12.965503,77.721947,PG,"Jayanagar, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
57,7275,Zolo Pepper - PG in Marathahalli Bangalore,12.9571713,77.7096945,PG,"J.P. Nagar, Bengaluru",1.556304144007207,0.5258649732243398,,,686,11
58,7277,Zolo Amber PG,12.9510146,77.7150464,PG,"J.P. Nagar, Bengaluru",1.665292174908811,0.7310730838384942,,,447,7
59,7278,Zolo Elements PG,12.965503,77.721947,PG,"J.P. Nagar, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
60,7417,Subiksha Courette,12.9520817,77.6978671,Apartments,"Junnasandra, Bengaluru",0.6773828228870374,1.9060129418700902,,,663,11
61,7444,DC Capitol,12.9370681,77.7053879,Apartments,"Junnasandra, Bengaluru",1.1811704422774987,2.4856769776113956,,,961,16
62,7461,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartments,"Junnasandra, Bengaluru",2.9518444478464856,2.4936980867608844,,,806,13
63,7465,UKN Esperanza,12.9518074,77.7207664,Apartments,"Junnasandra, Bengaluru",2.285249466489266,0.9312919517672924,,,480,8
64,7474,Sobha Dream Acres,12.9391078,77.7201689,Apartments,"Junnasandra, Bengaluru",2.295853248100709,2.141923021586672,,,696,12
65,7550,DSR Infrastructure Private Limited,12.9520393,77.7208853,Apartments,"Junnasandra, Bengaluru",2.304447182102301,0.9233114694427111,,,444,7
66,7551,Saroj Group,12.9522835,77.7119978,Apartments,"Junnasandra, Bengaluru",1.412193687552859,0.6487245116076025,,,448,7
67,7553,Benson StayAbode,12.9493461,77.6981495,Apartments,"Junnasandra, Bengaluru",0.39820530931033987,1.9967827506234004,,,743,12
68,7611,Klassik Enterprises Pvt Ltd,12.9627342,77.7023187,Apartments,"Junnasandra, Bengaluru",1.81624770902372,1.4424727967080708,,,616,10
69,7622,Multiplex,12.9516804,77.6996418,Apartments,"Junnasandra, Bengaluru",0.5807790976055217,1.7412103403984505,,,851,14
70,7796,IndiQube Omega,12.959603,77.716588,Offices,"Junnasandra, Bengaluru",2.280481404422767,0.3175485221851561,,,155,3
71,7998,Royal challengers paying guest accommodation,12.9506384,77.7034322,PG,"Junnasandra, Bengaluru",0.5652075148769371,1.428409328564085,,,642,11
72,8009,Sri Residential Paying Guest Hostel For Gents,12.9499676,77.6978187,PG,"Junnasandra, Bengaluru",0.475031106861969,1.9985158356862538,,,843,14
73,8010,Suyash PG,12.9520119,77.6974223,PG,"Junnasandra, Bengaluru",0.6913628309980963,1.9541781640808369,,,692,12
74,8015,Srivari Gents PG,12.9546172,77.707987,PG,"Junnasandra, Bengaluru",1.2208412570201022,0.781361105319862,,,432,7
75,8027,Venkateshwara deluxe pg for gents,12.9421111,77.7015029,PG,"Junnasandra, Bengaluru",0.503606539098968,2.2243472810092273,,,773,13
76,8028,Sri Rama Pg for gents,12.9508068,77.7030448,PG,"Junnasandra, Bengaluru",0.5577649169752605,1.4541571335108199,,,709,12
77,8032,Nandini pg for ladies,12.9502143,77.7014531,PG,"Junnasandra, Bengaluru",0.42781078358232894,1.6361874665609473,,,660,11
78,8034,Sithaara Stays ( PG for Ladies),12.9577771,77.7026107,PG,"Junnasandra, Bengaluru",1.2758664403044069,1.2918236058336008,,,734,12
79,8039,Zolo Pepper - PG in Marathahalli Bangalore,12.9571713,77.7096945,PG,"Junnasandra, Bengaluru",1.556304144007207,0.5258649732243398,,,686,11
80,8053,Zolo Elements PG,12.965503,77.721947,PG,"Junnasandra, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
81,8060,Colive Campbell PG in Munnekollal Bengaluru,12.9513605,77.7118356,PG,"Junnasandra, Bengaluru",1.3524479570911272,0.7496630109958362,,,476,8
82,8072,paying guest hostel(male),12.9529562,77.702174,PG,"Junnasandra, Bengaluru",0.7425042294452656,1.433875393480305,,,622,10
83,8080,Paying guest,12.9684613,77.7114946,PG,"Junnasandra, Bengaluru",2.721445283354501,1.2549311146676054,,,384,6
84,8093,"Spice Garden, Bangalore",12.9577917,77.7093143,PG,"Junnasandra, Bengaluru",1.5839970065155355,0.5657294106789279,,,659,11
85,8492,Flipkart Grocery ITPL Hub,12.9751694,77.7243629,Office,"K.R Puram, Bengaluru",4.111461690455175,2.228225820222491,,,737,12
86,8697,Sri Sai Balaji PG For Gents,12.971318,77.7323062,PG,"K.R Puram, Bengaluru",4.423884990067602,2.4591375641508844,,,872,15
87,8728,Venkateshwara Gents Pg,12.9701608,77.7120428,PG,"K.R Puram, Bengaluru",2.9173679130158887,1.4257406919496523,,,351,6
88,8730,Zolo Utopia - PG in Kundalahalli,12.9516806,77.7158713,PG,"K.R Puram, Bengaluru",1.7733608740766198,0.6708087099562016,,,412,7
89,8731,Zolo Elements PG,12.965503,77.721947,PG,"K.R Puram, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
90,8735,Lakshmi Vengamamba PG For Gents,12.9583777,77.7019919,PG,"K.R Puram, Bengaluru",1.3311260133745422,1.3616372867937112,,,696,12
91,8736,Sri Venkata Shilpa Mens PG,12.9591073,77.7032317,PG,"K.R Puram, Bengaluru",1.4343205506566936,1.2361970333701169,,,727,12
92,8738,Shivani Executive Pg for Ladies,12.9705882,77.7133996,PG,"K.R Puram, Bengaluru",3.0259145073972995,1.4527330854661002,,,463,8
93,8744,SKYCOURT,12.9418941,77.7023022,Apartment,"Kadubeesanahalli, Bengaluru",0.5533269941775204,2.189567008164328,,,762,13
94,8769,Isha Casablanca,12.9399758,77.704087,Apartment,"Kadubeesanahalli, Bengaluru",0.829510912359663,2.2601236834045864,,,841,14
95,8772,Hima Ram Residency,12.9409639,77.701866,Apartment,"Kadubeesanahalli, Bengaluru",0.6369251898824794,2.3006529267037594,,,804,13
96,8792,Sriven@205 Apartment,12.9415664,77.703225,Apartment,"Kadubeesanahalli, Bengaluru",0.6295322596324087,2.160449867550569,,,775,13
97,8794,Subhodaya Luxuria,12.9375728,77.7044969,Apartment,"Kadubeesanahalli, Bengaluru",1.088689173603212,2.4751773931781815,,,904,15
98,8806,Asha Tranquil Apartments,12.9408582,77.7016518,Apartment,"Kadubeesanahalli, Bengaluru",0.6429810100252471,2.3239617858366333,,,824,14
99,8807,Thaswi Homes,12.9408073,77.7017815,Apartment,"Kadubeesanahalli, Bengaluru",0.6516181335241568,2.3200933271020245,,,805,13
100,8808,DC Capitol,12.9370681,77.7053879,Apartment,"Kadubeesanahalli, Bengaluru",1.1811704422774987,2.4856769776113956,,,961,16
101,8811,House,12.9377862,77.7045686,Apartment,"Kadubeesanahalli, Bengaluru",1.0703392350411112,2.450449385652339,,,899,15
102,8820,SV Brindavanam,12.9378775,77.7041912,Apartment,"Kadubeesanahalli, Bengaluru",1.0443561221705955,2.4596970584816416,,,1061,18
103,8821,Reddy apartments,12.941468,77.7022356,Apartment,"Kadubeesanahalli, Bengaluru",0.5950646353100065,2.231771947475135,,,775,13
104,8826,Grand Bay Apartments,12.9493202,77.7004617,Apartment,"Kadubeesanahalli, Bengaluru",0.31272124470410956,1.779230567581404,,,695,12
