Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
A. H. Orchid,13.0179871,77.6484972,Apartment,"Kalyan Nagar, Bengaluru",1.3048400648507754,0.303887253322665,8,9,533
Parkview Apartments,13.020019,77.651346,Apartment,"Kalyan Nagar, Bengaluru",1.433381450821076,0.4463112202340897,6,8,452
Petra Splendour,13.0237001,77.6366095,Apartment,"Kalyan Nagar, Bengaluru",0.3950419760768576,1.7279057419030668,3,3,196
AH Heights,13.023252,77.6389609,Apartment,"Kalyan Nagar, Bengaluru",0.29263207193043245,1.4836463577130365,3,3,192
Crescent Apts,13.0204793,77.6426644,Apartment,"Kalyan Nagar, Bengaluru",0.6843434136621842,0.9806435621607592,5,6,357
Scion Windflower Apartment,13.0156197,77.6440983,Apartment,"Kalyan Nagar, Bengaluru",1.2378034395732567,0.697034222640408,6,8,452
Shreya Apartments,13.0295789,77.640134,Apartment,"Kalyan Nagar, Bengaluru",0.4225697881311828,1.874830818488262,5,6,332
Hosto Gold,13.0236956,77.6427837,Apartment,"Kalyan Nagar, Bengaluru",0.424344492754193,1.1903824778527066,3,4,233
Beauforte Apartment,13.0250846,77.6362335,Apartment,"Kalyan Nagar, Bengaluru",0.3667376295892004,1.842375201238743,2,2,110
Elegant Claire,13.0242862,77.6402072,Apartment,"Kalyan Nagar, Bengaluru",0.18596944382856223,1.4414853580678366,3,3,184
Kalyan Residency,13.0273483,77.6396213,Apartment,"Kalyan Nagar, Bengaluru",0.16975708355861166,1.7205721666765803,4,5,289
Royal Villa Apartment,13.0197765,77.6396697,Apartment,"Kalyan Nagar, Bengaluru",0.6726263582740731,1.2444003022750476,4,5,298
Harmony Homes,13.0251349,77.631956,Apartment,"Kalyan Nagar, Bengaluru",0.8243689855656227,2.248156184753624,2,3,151
Fairmont,13.0215046,77.6396783,Apartment,"Kalyan Nagar, Bengaluru",0.48056547197335653,1.3194261961738558,3,4,233
